Database,GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes)
July 2025,G100000100057,L100000104168,United States,https://www.gem.wiki/AES_Puerto_Rico_power_station,AES Puerto Rico power station,Unit 1,,,AES Corp [100%],E100000001305 [100%],AES Corp [100.0%],E100000001305 [100.0%],255.0,operating,2002.0,,2028.0,subcritical,unknown,,,,,Guayama,Guayama,,Puerto Rico,Northern America,Americas,17.945558,-66.14944,exact,,,,,,,,,23,0.55,12182.8,96100,1.51765210686682,3,4.552956320600459
July 2025,G100000100130,L100000103996,United States,https://www.gem.wiki/Allen_S._King_Generating_Plant,Allen S. King Generating Plant,--,,,Xcel Energy Inc [100%],E100000001329 [100%],Xcel Energy Inc [100.0%],E100000001329 [100.0%],598.4,operating,1958.0,,2028.0,supercritical,subbituminous,"Black Thunder Mine (Arch coal), North Antelope Rochelle Mine (Peabody Coal)",,,,Stillwater,Washington,,Minnesota,Northern America,Americas,45.032414,-92.778776,exact,,,,,,,,,67,0.55,10511.25,96100,3.072775874907222,3,9.218327624721665
July 2025,G100000100165,L100000104249,United States,https://www.gem.wiki/Amos_Plant,Amos Plant,Unit 3,John E Amos power station,,Appalachian Power Co [100%],E100000002449 [100%],American Electric Power Company Inc [100.0%],E100000001140 [100.0%],1300.0,operating,1973.0,,,supercritical,bituminous,"Marshall County Mine (Consolidation Coal), Powhatan No. 6 Mine (Consolidation Coal), Mammoth Mine (Contura Energy), Ridgeline #4 (Case Coal Sales), Mine 6 (Black Jewel), Zigmond Processing (Contura Energy), Fork Creek 1 Mine (Blackjewel)",,,,Saint Albans,Putnam,,West Virginia,Northern America,Americas,38.473717,-81.824919,exact,,,,,,,,,52,0.55,10511.25,94600,6.571286474234625,5,32.85643237117312
July 2025,G100000100277,L100000104089,United States,https://www.gem.wiki/Antelope_Valley_Station,Antelope Valley Station,Unit 2,,,Basin Electric Power Cooperative [100%],E100000002183 [100%],Basin Electric Power Cooperative [100.0%],E100000002183 [100.0%],434.9,operating,1986.0,,,subcritical,lignite,Freedom Mine (ND),,,,Beulah,Mercer,,North Dakota,Northern America,Americas,47.370558,-101.835772,exact,,,,,,,,,39,0.55,11747.7,101000,2.62316238013724,5,13.1158119006862
July 2025,G100000100289,L100000103787,United States,https://www.gem.wiki/Apache_Generating_Station,Apache Generating Station,"Unit 3, timepoint 1",,,Arizona Electric Power Cooperative Inc [100%],E100000002175 [100%],Arkansas Electric Cooperative Corp [100.0%],E100000002176 [100.0%],204.0,operating,1979.0,,2027.0,subcritical,subbituminous,"El Segundo mine, Lee Ranch mine",,,,Cochise,Cochise,,Arizona,Northern America,Americas,32.061875,-109.894686,exact,,,,,,,,,46,0.55,12617.9,96100,1.257483174261079,2,2.514966348522158
July 2025,G100000100319,L100000103903,United States,https://www.gem.wiki/Archer_Daniels_Midland_Cedar_Rapids_Power_Plant,Archer Daniels Midland Cedar Rapids Power Plant,Unit 6,,,Archer-Daniels-Midland Co [100%],E100001000641 [100%],Archer-Daniels-Midland Co [100.0%],E100001000641 [100.0%],101.1,operating,2000.0,,,subcritical,bituminous,,,,,Cedar Rapids,Linn,,Iowa,Northern America,Americas,41.924733,-91.686397,exact,,,,agriculture,,,,yes,25,0.55,12182.8,94600,0.5923125751035755,10,5.923125751035755
July 2025,G100000100321,L100000103904,United States,https://www.gem.wiki/Archer_Daniels_Midland_Clinton_Power_Plant,Archer Daniels Midland Clinton Power Plant,Unit 2A,Clinton ADM New power station,,Archer-Daniels-Midland Co [100%],E100001000641 [100%],Archer-Daniels-Midland Co [100.0%],E100001000641 [100.0%],105.0,operating,2009.0,,,subcritical,bituminous,,,,bioenergy,Clinton,Clinton,,Iowa,Northern America,Americas,41.820939,-90.209494,exact,,,,agriculture,,,,yes,16,0.55,11312.6,94600,0.5712213261384631,19,10.8532051966308
July 2025,G100000100328,L100000103852,United States,https://www.gem.wiki/Archer_Daniels_Midland_Decatur_Power_Plant,Archer Daniels Midland Decatur Power Plant,Unit 8,,,Archer-Daniels-Midland Co [100%],E100001000641 [100%],Archer-Daniels-Midland Co [100.0%],E100001000641 [100.0%],105.0,operating,2005.0,,,subcritical,bituminous,,,,,Decatur,Macon,,Illinois,Northern America,Americas,39.870008,-88.890964,exact,,,,agriculture,,,,yes,20,0.55,12182.8,94600,0.615161428149114,15,9.22742142223671
July 2025,G100000100476,L100000103853,United States,https://www.gem.wiki/Baldwin_Energy_Station,Baldwin Energy Station,Unit 2,,,Dynegy Midwest Generation Inc [100%],E100001001277 [100%],Vistra Corp [100.0%],E100000001322 [100.0%],634.5,operating,1973.0,,2027.0,subcritical,subbituminous,,,,,Baldwin,Randolph,,Illinois,Northern America,Americas,38.204531,-89.855978,exact,,,,,,,,,52,0.55,10877.5,96100,3.371674586158952,2,6.743349172317903
July 2025,G100000100648,L100000103776,United States,https://www.gem.wiki/Barry_Steam_Plant,Barry Steam Plant,Unit 5,,,Alabama Power Co [100%],E100000002418 [100%],Southern Co [100.0%],E100000001309 [100.0%],788.8,operating,1971.0,,2028.0,supercritical,bituminous,,,,,Bucks,Mobile,,Alabama,Northern America,Americas,31.006553,-88.008753,exact,,,,,,,,,54,0.55,10511.25,94600,3.987254439135593,3,11.96176331740678
July 2025,G100000100736,L100000104072,United States,https://www.gem.wiki/Belews_Creek_Steam_Station,Belews Creek Steam Station,Unit 1,,,Duke Energy Carolinas LLC [100%],E100000002838 [100%],Duke Energy Corp [100.0%],E100000001194 [100.0%],1080.0,operating,1974.0,,2035.0,supercritical,bituminous,,,,fossil gas,Walnut Cove,Stokes,,North Carolina,Northern America,Americas,36.2825,-80.058547,exact,,,,,,,,,51,0.55,10511.25,94600,5.45922260936415,10,54.5922260936415
July 2025,G100000100743,L100000103973,United States,https://www.gem.wiki/Belle_River_Power_Plant,Belle River Power Plant,"Unit 2, timepoint 1",,,Michigan Public Power Agency [18%]; DTE Electric Co [81%],E100000002239 [81%]; E100000002281 [18%],Michigan Public Power Agency [18.6%]; DTE Energy Co,E100000002281 [18.6%]; E100002004748,697.5,operating,1985.0,,2026.0,subcritical,subbituminous,,fossil gas: natural gas,G100001028278,,China,St Clair,,Michigan,Northern America,Americas,42.775292,-82.494311,exact,,,,,,,,,40,0.55,10877.5,96100,3.706450786203104,1,3.706450786203104
July 2025,G100000100852,L100000103820,United States,https://www.gem.wiki/Big_Bend_Station,Big Bend Station,Unit 4,,,Tampa Electric Co [100%],E100000004158 [100%],Emera Inc [100.0%],E100000000111 [100.0%],486.0,operating,1985.0,,2045.0,subcritical,bituminous,Dotiki Mine,,,,Ruskin,Hillsborough,,Florida,Northern America,Americas,27.794344,-82.403206,exact,,,,,,,,,40,0.55,10877.5,94600,2.542248759187665,20,50.8449751837533
