plant_name,latitude,longitude,epd_count
Newark,40.7492,-74.16723,1983
Roseland,40.826,-74.2974,1974
Bogota,40.87996,-74.03769,1964
Howell,40.21426,-74.19105,1908
North Bergen,40.82015,-74.01551,1893
Broadway,40.73789,-74.07932,1717
Port of Portland,45.55959,-122.71416,1469
West Nyack,41.11005,-73.95576,1466
Vernon,34.014213,-118.2243938,1133
Queens Lane (wet),37.3704404,-121.9033737,1062
Irvine,33.6940496,-117.8209081,1051
Wildish,44.1096264,-123.0671489,940
Artesia,33.8732609,-118.0838964,697
Oakland,37.772993,-122.2361628,690
Sun Valley,34.2330406,-118.3762305,658
Redwood City,37.4933125,-122.21718750000001,640
Corvallis,44.48843919999999,-123.2588244,635
Pier 92 Amador,37.7465575,-122.3821456,625
Hilroy,44.9010608,-122.9712008,565
STOCKTON PLANT WET,37.3416555,-121.9137762,500
Queens Lane (dry),37.3704404,-121.9033737,484
Santa Clara,37.3881388,-121.9568651,409
Annapolis Junction,39.1281251,-76.7896738,408
Redwood City B,37.508828,-122.2086066,395
Canoga Park,34.1958281,-118.5967808,388
Brookshire Plant,29.81077,-95.96515,386
Stockton (wet),37.33646,-121.90884,383
Baltimore,39.2015955,-76.581648,377
Irwindale,34.117356,-117.9815504,372
Glendale,34.1469514,-118.2745201,365
Morrisville,35.83826,-78.82264,348
North,35.2542164,-80.7978286,344
Seattle,47.5566,-122.33986,341
South Gate,33.9508387,-118.1798201,335
Broadway Plant,40.714059,-74.00682,333
San Jose,37.3679741,-121.8823738,332
Santa Clarita,34.426687,-118.497624,322
Van Nuys,34.1797213,-118.464613,289
Moorpark,34.28841,-118.86562,287
South San Francisco (wet),37.6429524,-122.4113983,287
Orchards,45.62163,-122.55176,281
Hermiston,45.8224375,-119.2700625,278
Concord,38.00481,-122.04701,272
San Francisco Plant 31,37.7462131,-122.3801002,269
San Francisco Plant 32,37.7462131,-122.3801002,264
Bayonne,40.65945,-74.11098,258
Logan,39.8147014,-75.31846469999999,240
San Francisco Plant 30,37.7462131,-122.3801002,238
"Atlanta, GA",33.7394571,-84.3588446,236
Burnsville,44.77770779999999,-93.3081565,234
South Plainfield,40.5620249,-74.4111236,234
RBWest,44.96703,-123.04232,225
Foster Road,45.47547,-122.5591,224
Long Island City,40.7404113,-73.94243019999999,219
Mt. Holly,39.9811525,-74.802218,218
San Carlos,37.50578,-122.25477,215
Queenstown,38.9846764,-76.1090196,213
Sterling RM (Plant 1),38.981315,-77.44931140000001,210
Mission Valley,32.77439,-117.1407,206
Dulles,38.985221,-77.44823199999999,202
Apple Valley,44.7269541,-93.18979189999999,199
Maple Grove,45.1084343,-93.41544859999999,198
Boardman,45.848754,-119.6557349,192
Englishtown,40.2595181,-74.3994312,191
Elk River,45.3455319,-93.5603972,182
Austin Plant 2/9,30.1862051,-97.70409590000001,160
Philadelphia,39.976096,-75.2195837,159
Bannock,39.68493650000001,-104.990319,156
Salinas,36.6729287,-121.6441745,155
Berkeley,37.8788,-122.30148,147
Union City,37.60522,-122.02907,143
Chalco Plant (1&2),41.164541,-96.1417,141
Waltham,42.36386660000001,-71.2656615,141
Inglewood,33.8847311,-118.4053029,137
Gainesville,38.7948127,-77.5915595,137
Atlanta,33.79411,-84.43239,137
Centreville RM,38.8268285,-77.49334189999999,134
South,35.16656,-80.88206,134
Hayward,37.65142,-122.12687,133
Armour Drive 301,33.81058,-84.38147,127
Green,30.2288124,-97.6158981,126
Sullivan,47.6745625,-117.1954375,125
Southwest DC,38.9159429,-77.0037487,124
Antioch,38.01207,-121.75336,116
Brooklyn (A),40.7108599,-73.9334351,115
Downingtown,39.9994224,-75.696077,114
Everett,42.3898619,-71.0569058,112
Redmond,47.67487,-122.11869,111
Fort Totten (DC),38.9516885,-77.00775039999999,111
Navigation RM,29.7498917,-95.3195726,107
Fontana RM,34.0553876,-117.5175578,106
Santa Cruz,36.9834654,-122.0323577,106
Orange,33.81707,-117.86784,102
Limerick,40.2447863,-75.5631042,102
Los Angeles,34.06639,-118.22324,101
Bridgeport,41.16031249999999,-73.2104375,100
Ham Lake,45.260081,-93.231775,99
Sterling RM (,38.981315,-77.44931140000001,96
Kingston,40.4049154,-74.5912029,96
CTI Ready Mix West Des Moines,41.5910365,-93.7116815,95
