plant_name,region,closest_coal_mi
Newark,Eastern,181.14829681732888
Roseland,Eastern,178.96497943256242
Bogota,Eastern,200.688294580387
Howell,Eastern,172.40023860713086
North Bergen,Eastern,197.445288130538
Broadway,Eastern,185.4268209328048
Port of Portland,Pacific Northwest,97.4021648626145
West Nyack,Eastern,211.38211937813017
Vernon,Pacific Southwest,614.7722047547442
Queens Lane (wet),Pacific Southwest,448.3444144804703
Irvine,Pacific Southwest,599.2326668075111
Wildish,Pacific Northwest,517.6775572594977
Artesia,Pacific Southwest,554.0392334745922
Oakland,Pacific Southwest,418.8475399853356
Sun Valley,Pacific Southwest,595.8471174518747
Redwood City,Pacific Southwest,445.6554860998919
Corvallis,Pacific Northwest,187.35313855369284
Pier 92 Amador,Pacific Southwest,422.19878956590907
Hilroy,Pacific Northwest,146.92140877626855
STOCKTON PLANT WET,Pacific Southwest,450.1907614301515
Queens Lane (dry),Pacific Southwest,491.402003305703
Santa Clara,Pacific Southwest,728.4451390010812
Annapolis Junction,Eastern,68.77974821976711
Redwood City B,Pacific Southwest,489.63376290901857
Canoga Park,Pacific Southwest,587.7890936657263
Brookshire Plant,South Central,63.60650950078914
Stockton (wet),Pacific Southwest,493.5483490126387
Baltimore,Eastern,60.84102799905551
Irwindale,Pacific Southwest,571.5352877577144
Glendale,Pacific Southwest,567.1882262293859
Morrisville,South Eastern,148.01384418457258
North,South Eastern,33.59588402699243
South Gate,Pacific Southwest,563.4473138056595
Broadway Plant,Eastern,266.2757403656157
San Jose,Pacific Southwest,913.8402077870433
Santa Clarita,Pacific Southwest,593.2405830961761
Van Nuys,Pacific Southwest,579.5835559918974
South San Francisco (wet),Pacific Southwest,877.1951234667628
Orchards,Pacific Northwest,92.57372587520352
Hermiston,Pacific Northwest,488.2248002286652
Concord,Pacific Southwest,399.2985944548697
San Francisco Plant 31,Pacific Southwest,465.3682876210124
San Francisco Plant 32,Pacific Southwest,869.9402239427344
Bayonne,Eastern,188.2458647644376
San Francisco Plant 30,Pacific Southwest,422.3106987957797
"Atlanta, GA",South Eastern,52.82457404898903
Burnsville,North Central,39.17102663203549
South Plainfield,Eastern,169.28995737383025
RBWest,Pacific Northwest,521.7627101793282
Foster Road,Pacific Northwest,103.14420818472168
Long Island City,Eastern,200.1377583357153
Mt. Holly,Eastern,143.99318975480634
San Carlos,Pacific Southwest,486.2828861520872
Queenstown,Eastern,37.47828302285409
Sterling RM (Plant 1),Eastern,67.20922862788473
Mission Valley,Pacific Southwest,480.5720978786336
Dulles,Eastern,67.20475474418085
Apple Valley,North Central,84.05476779300832
Maple Grove,North Central,170.32920327587706
Boardman,Pacific Northwest,549.7712726956393
Englishtown,Eastern,289.5738004399319
Elk River,North Central,150.1464575540284
Austin Plant 2/9,South Central,114.86621844979928
Philadelphia,Eastern,108.51429778667033
Bannock,Rocky Mountains,85.08289112306907
Salinas,Pacific Southwest,551.4983782171574
Berkeley,Pacific Southwest,452.0135583531137
Union City,Pacific Southwest,883.3965476530751
Chalco Plant (1&2),North Central,60.40140678787577
Waltham,Eastern,399.0217107634185
Inglewood,Pacific Southwest,607.5244510171872
Gainesville,Eastern,122.16219071172034
Atlanta,South Eastern,139.51290591174023
Centreville RM,Eastern,127.1911466812482
South,South Eastern,101.97391477251546
Hayward,Pacific Southwest,879.1759354766551
Armour Drive 301,South Eastern,192.18698348391268
Green,South Central,64.57914424546709
Sullivan,Pacific Northwest,656.1275429679248
Redmond,Pacific Northwest,864.7132986193097
Navigation RM,South Central,143.58084680676552
Fontana RM,Pacific Southwest,566.7947730125393
Santa Cruz,Pacific Southwest,927.2028284886974
Orange,Pacific Southwest,604.4895422968422
Los Angeles,Pacific Southwest,620.0326842059478
Bridgeport,Eastern,254.3956528763344
Ham Lake,North Central,36.1645146457554
Sterling RM (,Eastern,67.20922862788473
Kingston,Eastern,155.71265239166368
CTI Ready Mix West Des Moines,North Central,128.41139846148113
Bend,Pacific Northwest,782.3268544869325
Buckhead,South Eastern,49.9288528216536
Glenwood 317,South Eastern,71.35415760498093
Jarvis,Great Lakes Midwest,72.03505784980179
Boston Sand & Gravel,Eastern,56.15637466290529
Carroll Canyon,Pacific Southwest,483.4028235177154
Palomar Escondido,Pacific Southwest,491.3238967527061
19th Avenue,Pacific Southwest,189.9097145413648
Pleasanton,Pacific Southwest,470.1541004386892
Monterey-Seaside,Pacific Southwest,559.4256651795146
Sandwich,Eastern,118.71369629786123
Sun City,Pacific Southwest,287.9773074676576
Orleans,Eastern,145.4595672760262
Franklin,Rocky Mountains,86.4313942361465
Golden,Rocky Mountains,91.21963040749624
Denver,Rocky Mountains,85.55954614935315
Perkins,Pacific Southwest,379.6296618489567
Carver,Eastern,107.84638423204544
"Colonie, NY",Eastern,146.9199174817006
"Pleasant Valley, NY",Eastern,257.7838119974648
