gwp,lightweight,id,gwp_per_category_declared_unit,concrete_compressive_strength_28d,name,updated_on,open_xpd_uuid,created_on,uncertainty_factor,standard_deviation,plant_or_group.id,plant_or_group.latitude,plant_or_group.longitude,plant_or_group.name,plant_or_group.updated_on,plant_or_group.created_on,plant_or_group.type,cementitious.ggbs,concrete_aggregate_size_max,cementitious.fly_ash,gwp_val_per_cy,created_date_formatted,Compressive_Strength
274 kgCO2e,False,6864ed407d94439fbb69c58f6c56b60f,274 kgCO2e,27.6 MPa,Mix 67T712P,2024-05-24T16:14:43.325596Z,ec3ztqgj,2024-04-26T19:56:21.309512Z,1.0945742734134394,30.79057856 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.35,,0.25,209.48807,2024-04-26 19:56:21.309512+00:00,4000
323 kgCO2e,False,944a47092a1e4300bbf1481b157c3bac,323 kgCO2e,27.6 MPa,Mix 07T710,2024-05-24T15:22:14.880464Z,ec3ggmhb,2024-04-26T19:51:36.876387Z,1.0945742734134394,36.2969229 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.35,,0.15,246.951265,2024-04-26 19:51:36.876387+00:00,4000
271 kgCO2e,False,5f3ff9387a6a4276aa532603f058533e,271 kgCO2e,24.1 MPa,Mix 67T550,2024-05-24T16:20:51.514550Z,ec376bcm,2024-04-26T19:53:12.535735Z,1.0945742734134394,30.45345544 kgCO2e,b2bf3a7f537c4c3791894e55fd87eb59,36.9834654,-122.0323577,Santa Cruz,2024-10-15T20:00:30.102414Z,2022-05-10T20:37:46.919467Z,Plant,0.35,,0.15,207.194405,2024-04-26 19:53:12.535735+00:00,3500
233 kgCO2e,False,0fc158052cbd47d995c1fd603ef63ce4,233 kgCO2e,24.1 MPa,Mix 67T550,2024-05-24T15:21:42.768286Z,ec349b08,2024-04-26T19:52:32.737958Z,1.0945742734134394,26.18322921 kgCO2e,a8d7ad80ba264ef5bf116121058249cf,36.6729287,-121.6441745,Salinas,2024-10-15T20:00:30.038999Z,2022-05-10T20:18:31.930412Z,Plant,0.35,,0.15,178.141315,2024-04-26 19:52:32.737958+00:00,3500
327 kgCO2e,False,7391f8fb9cf047e888caa2a27ace458e,327 kgCO2e,27.6 MPa,Mix 07T725,2024-05-24T16:07:30.121894Z,ec31xm45,2024-04-26T19:50:17.686746Z,1.0945742734134394,36.7464204 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.35,,0.15,250.00948499999998,2024-04-26 19:50:17.686746+00:00,4000
235 kgCO2e,False,4a117baf390047e0b334a93a2bd85e26,235 kgCO2e,24.1 MPa,Mix 67T550,2024-05-24T16:21:25.061298Z,ec3m3x3m,2024-04-26T19:49:14.554023Z,1.0945742734134394,26.40797796 kgCO2e,db002dcf0ef3472aa69bb8c31f32982e,36.6138125,-121.84581250000001,Monterey-Seaside,2024-10-15T20:00:29.955964Z,2022-05-10T13:49:32.914705Z,Plant,0.35,,0.15,179.670425,2024-04-26 19:49:14.554023+00:00,3500
256 kgCO2e,False,be69cc7086d04131a937fa87ad056dd8,256 kgCO2e,24.1 MPa,Mix 67T550,2024-05-24T15:57:51.521217Z,ec36tuxz,2024-04-26T19:46:45.356905Z,1.0945742734134394,28.76783982 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.35,,0.15,195.72608,2024-04-26 19:46:45.356905+00:00,3500
311 kgCO2e,False,5b74236e1a5c4b02ac5778c7ebc52ae6,311 kgCO2e,31 MPa,Mix 67T680,2024-05-24T16:15:19.257980Z,ec3q3ey0,2024-04-26T19:46:05.241709Z,1.0945742734134394,34.94843041 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.35,,0.15,237.776605,2024-04-26 19:46:05.241709+00:00,4500
319 kgCO2e,False,33a1fcfa02634aa68c0b65d0a81cbd23,319 kgCO2e,27.6 MPa,Mix 07T700,2024-02-22T17:26:55.343160Z,ec3mxgkg,2024-01-25T06:20:57.080226Z,1.0945742734134394,35.8474254 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.35,,0.15,243.893045,2024-01-25 06:20:57.080226+00:00,4000
255 kgCO2e,False,cec5c35a008846d5a720ddd754f777f9,255 kgCO2e,27.6 MPa,Mix 07T722,2024-02-22T17:24:37.589357Z,ec3n88xx,2024-01-25T05:39:02.559750Z,1.0945742734134394,28.65546545 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.55,,0.15,194.961525,2024-01-25 05:39:02.559750+00:00,4000
305 kgCO2e,False,092f44f4193c4608afc253eb1ef8f7e4,305 kgCO2e,37.9 MPa,Mix 57T753,2024-02-21T21:18:18.583963Z,ec3gkaxg,2023-11-27T01:15:56.460032Z,1.0945742734134394,34.27418416 kgCO2e,a8d7ad80ba264ef5bf116121058249cf,36.6729287,-121.6441745,Salinas,2024-10-15T20:00:30.038999Z,2022-05-10T20:18:31.930412Z,Plant,0.35,,0.15,233.189275,2023-11-27 01:15:56.460032+00:00,5500
295 kgCO2e,False,012dc7a7aef84edca6d027eee6b95a51,295 kgCO2e,37.9 MPa,Mix 57T802,2024-02-21T21:17:16.911788Z,ec3n60my,2023-11-27T01:15:08.459013Z,1.0945742734134394,33.15044042 kgCO2e,a8d7ad80ba264ef5bf116121058249cf,36.6729287,-121.6441745,Salinas,2024-10-15T20:00:30.038999Z,2022-05-10T20:18:31.930412Z,Plant,0.45,,0.15,225.543725,2023-11-27 01:15:08.459013+00:00,5500
321 kgCO2e,False,2c481c778e2040febbea6125b811a582,321 kgCO2e,37.9 MPa,Mix 57T802,2024-02-21T21:17:35.410168Z,ec38he97,2023-11-27T01:14:47.104641Z,1.0945742734134394,36.07217415 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.45,,0.15,245.422155,2023-11-27 01:14:47.104641+00:00,5500
298 kgCO2e,False,74a808e83c8447ef8be3ef6a02a21322,298 kgCO2e,31 MPa,Mix 67T650,2024-02-22T18:45:56.956995Z,ec3rfk6n,2023-11-27T01:14:44.148009Z,1.0945742734134394,33.48756354 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.35,,0.15,227.83739,2023-11-27 01:14:44.148009+00:00,4500
340 kgCO2e,False,6f6a4f25a0904a0fa30d60f879f41fbc,340 kgCO2e,37.9 MPa,Mix 57T753,2024-02-21T21:18:47.574322Z,ec3m57tp,2023-11-27T01:14:33.922575Z,1.0945742734134394,38.20728726 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.35,,0.15,259.9487,2023-11-27 01:14:33.922575+00:00,5500
278 kgCO2e,False,8448dcf6cdb941e3920e89ef6d2f1986,278 kgCO2e,24.1 MPa,Mix 08T680,2024-02-21T21:18:06.389837Z,ec38az1e,2023-11-27T01:14:02.681132Z,1.0945742734134394,31.24007606 kgCO2e,a8d7ad80ba264ef5bf116121058249cf,36.6729287,-121.6441745,Salinas,2024-10-15T20:00:30.038999Z,2022-05-10T20:18:31.930412Z,Plant,0.35,,0.15,212.54629,2023-11-27 01:14:02.681132+00:00,3500
345 kgCO2e,False,d53806f0628245e6a7c5347695c79c71,345 kgCO2e,24.1 MPa,Mix 08T680,2024-02-21T21:16:32.070123Z,ec355f44,2023-11-27T01:13:07.140359Z,1.0945742734134394,38.76915913 kgCO2e,937cf63e18534e089c690f7a280bd32b,37.4933125,-122.21718750000001,Redwood City,2024-10-15T20:00:30.020949Z,2022-05-10T13:58:17.077687Z,Plant,0.35,,0.15,263.771475,2023-11-27 01:13:07.140359+00:00,3500
362 kgCO2e,False,222bc128c0504f2d9c1bcc9eba040ef8,362 kgCO2e,41.4 MPa,Mix 57T800,2023-11-27T01:17:08.132967Z,ec3qtwz8,2023-09-04T22:01:54.979173Z,1.0945742734134394,40.6795235 kgCO2e,1f42b9ef26994694899661fcd182e4a4,37.3679741,-121.8823738,San Jose,2024-10-15T20:00:30.077625Z,2022-05-10T20:26:58.503056Z,Plant,0.35,,0.15,276.76891,2023-09-04 22:01:54.979173+00:00,6000
