name,gwp_per_category_declared_unit,lightweight,created_on,standard_deviation,updated_on,id,open_xpd_uuid,gwp,uncertainty_factor,plant_or_group.name,plant_or_group.longitude,plant_or_group.created_on,plant_or_group.updated_on,plant_or_group.id,plant_or_group.latitude,plant_or_group.type,concrete_compressive_strength_28d,cementitious.fly_ash,concrete_aggregate_size_max,cementitious.ggbs,gwp_val_per_cy,created_date_formatted,Compressive_Strength
Mix 57F630,355 kgCO2e,False,2023-01-15T11:30:51.091553Z,33.31495528 kgCO2e,2023-11-25T15:10:08.500691Z,eb6de10f511e4984bb04aeaa47a5f358,ec3qxf7e,355 kgCO2e,1.0789799052543951,San Jose,-121.8823738,2022-05-10T20:26:58.503056Z,2024-10-15T20:00:30.077625Z,1f42b9ef26994694899661fcd182e4a4,37.3679741,Plant,3.93 MPa,0.25,,,271.41702499999997,2023-01-15 11:30:51.091553+00:00,500
Mix 57F727OR,435 kgCO2e,False,2023-01-15T11:23:38.354984Z,38.17388693 kgCO2e,2023-11-25T14:44:32.247445Z,aabffeb29a1848729855d1f0381c8c50,ec3q7qjw,435 kgCO2e,1.0738555016940972,San Jose,-121.8823738,2022-05-10T20:26:58.503056Z,2024-10-15T20:00:30.077625Z,1f42b9ef26994694899661fcd182e4a4,37.3679741,Plant,4.48 MPa,0.2,0 in,,332.58142499999997,2023-01-15 11:23:38.354984+00:00,500
Mix 57F727,429 kgCO2e,False,2023-01-15T11:22:25.383711Z,42.01286693 kgCO2e,2023-11-25T13:20:32.250935Z,6129df0f3d9f412b85594e981a5f9874,ec3fqzzm,429 kgCO2e,1.082419647580931,San Jose,-121.8823738,2022-05-10T20:26:58.503056Z,2024-10-15T20:00:30.077625Z,1f42b9ef26994694899661fcd182e4a4,37.3679741,Plant,4.48 MPa,0.2,0 in,,327.994095,2023-01-15 11:22:25.383711+00:00,500
Mix 57F728OR,429 kgCO2e,False,2023-01-15T11:08:40.974201Z,37.64735055 kgCO2e,2023-11-24T19:59:57.493770Z,005c122c7bed45e0869959ef50052457,ec3c16jg,429 kgCO2e,1.0738555016940972,Redwood City,-122.21718750000001,2022-05-10T13:58:17.077687Z,2024-10-15T20:00:30.020949Z,937cf63e18534e089c690f7a280bd32b,37.4933125,Plant,4.48 MPa,0.2,5 in,,327.994095,2023-01-15 11:08:40.974201+00:00,500
57F630,354 kgCO2e,False,2022-12-20T13:58:03.097234Z,33.22111034 kgCO2e,2023-11-25T03:35:07.071049Z,7b15d17fa1d84df086842d0fc45a74b3,ec3q1rce,354 kgCO2e,1.0789799052543951,Redwood City,-122.21718750000001,2022-05-10T13:58:17.077687Z,2024-10-15T20:00:30.020949Z,937cf63e18534e089c690f7a280bd32b,37.4933125,Plant,3.93 MPa,0.25,,,270.65247,2022-12-20 13:58:03.097234+00:00,500
57FS830,478 kgCO2e,False,2022-11-15T12:04:59.013777Z,37.16381112 kgCO2e,2023-02-07T15:00:07.342981Z,09d9f40fb0324ce58eccfb5aaa65cddf,ec3duyuy,478 kgCO2e,1.0654331871105596,San Jose,-121.8823738,2022-05-10T20:26:58.503056Z,2024-10-15T20:00:30.077625Z,1f42b9ef26994694899661fcd182e4a4,37.3679741,Plant,4.48 MPa,,,0.3,365.45729,2022-11-15 12:04:59.013777+00:00,500
57FS830OR,430 kgCO2e,False,2022-11-15T12:04:47.051424Z,36.86784593 kgCO2e,2023-02-07T14:28:49.180558Z,94b9f8caf9df4f2282754b71debe40f1,ec3e944h,430 kgCO2e,1.0721580910067026,Monterey-Seaside,-121.84581250000001,2022-05-10T13:49:32.914705Z,2024-10-15T20:00:29.955964Z,db002dcf0ef3472aa69bb8c31f32982e,36.6138125,Plant,4.48 MPa,,,0.3,328.75865,2022-11-15 12:04:47.051424+00:00,500
57FS653OR,401 kgCO2e,False,2022-11-15T12:03:44.689707Z,29.59706433 kgCO2e,2023-02-07T15:09:16.036578Z,327c8a858d9e491d86d990167a3e48c9,ec3ybzan,401 kgCO2e,1.0621169310216088,Santa Cruz,-122.0323577,2022-05-10T20:37:46.919467Z,2024-10-15T20:00:30.102414Z,b2bf3a7f537c4c3791894e55fd87eb59,36.9834654,Plant,4.48 MPa,,0 in,0.3,306.586555,2022-11-15 12:03:44.689707+00:00,500
57FS830,476 kgCO2e,False,2022-11-15T12:03:31.833232Z,37.008314 kgCO2e,2023-02-07T14:34:10.100354Z,9f479731f75a46bbb41710a14af2eb67,ec354hnr,476 kgCO2e,1.0654331871105596,Redwood City,-122.21718750000001,2022-05-10T13:58:17.077687Z,2024-10-15T20:00:30.020949Z,937cf63e18534e089c690f7a280bd32b,37.4933125,Plant,4.48 MPa,,,0.3,363.92818,2022-11-15 12:03:31.833232+00:00,500
57FS830OR,499 kgCO2e,False,2022-11-15T12:02:52.411194Z,36.8302621 kgCO2e,2023-02-07T15:09:01.395505Z,51be82dd47d3438ca6550399b57689ae,ec3zadwd,499 kgCO2e,1.0621169310216088,Santa Cruz,-122.0323577,2022-05-10T20:37:46.919467Z,2024-10-15T20:00:30.102414Z,b2bf3a7f537c4c3791894e55fd87eb59,36.9834654,Plant,4.48 MPa,,,0.3,381.512945,2022-11-15 12:02:52.411194+00:00,500
